#  L TT            EE            BB            TE            PP            PT            PE           
  47 1.2986072e+03 9.2873875e-02 5.9569463e-04 1.0093506e+00 1.2881691e-07 7.9465688e-04 -3.6116492e-07
  48 1.3177207e+03 9.9463704e-02 6.2141727e-04 8.6824062e-01 1.2841847e-07 7.7883998e-04 -3.2566746e-07
  49 1.3369306e+03 1.0632031e-01 6.4768488e-04 7.1418660e-01 1.2799646e-07 7.6347546e-04 -3.0917403e-07
  50 1.3562415e+03 1.1344162e-01 6.7449654e-04 5.4670279e-01 1.2754401e-07 7.4851691e-04 -3.4024590e-07
  51 1.3756760e+03 1.2082808e-01 7.0185136e-04 3.6563805e-01 1.2705643e-07 7.3393144e-04 -4.3702217e-07
  52 1.3952018e+03 1.2848574e-01 7.2974841e-04 1.7197746e-01 1.2653748e-07 7.1973797e-04 -5.7619391e-07
  53 1.4147822e+03 1.3641874e-01 7.5818679e-04 -3.3219736e-02 1.2599323e-07 7.0596934e-04 -7.2416245e-07
  54 1.4344327e+03 1.4463194e-01 7.8716564e-04 -2.4975345e-01 1.2542960e-07 6.9265784e-04 -8.4740232e-07
  55 1.4541835e+03 1.5313170e-01 8.1668409e-04 -4.7779320e-01 1.2485253e-07 6.7983604e-04 -9.1245506e-07
  56 1.4741746e+03 1.6191706e-01 8.4674137e-04 -7.1816882e-01 1.2426716e-07 6.6752298e-04 -8.9597895e-07
  57 1.4945099e+03 1.7098461e-01 8.7733672e-04 -9.7178680e-01 1.2367480e-07 6.5568175e-04 -8.1487214e-07
  58 1.5151431e+03 1.8033254e-01 9.0846948e-04 -1.2388935e+00 1.2307589e-07 6.4426201e-04 -6.9604158e-07
  59 1.5359834e+03 1.8995979e-01 9.4013906e-04 -1.5194478e+00 1.2247095e-07 6.3321375e-04 -5.6634232e-07
  60 1.5570068e+03 1.9985787e-01 9.7234496e-04 -1.8129926e+00 1.2186041e-07 6.2248679e-04 -4.5258139e-07
  61 1.5782158e+03 2.1001930e-01 1.0050868e-03 -2.1190728e+00 1.2124472e-07 6.1203633e-04 -3.7686664e-07
  62 1.5996080e+03 2.2044061e-01 1.0383642e-03 -2.4375992e+00 1.2062407e-07 6.0183685e-04 -3.4265701e-07
  63 1.6211926e+03 2.3112010e-01 1.0721770e-03 -2.7685885e+00 1.1999863e-07 5.9186796e-04 -3.4875726e-07
  64 1.6429641e+03 2.4205532e-01 1.1065252e-03 -3.1120502e+00 1.1936846e-07 5.8210907e-04 -3.9397677e-07
  65 1.6649390e+03 2.5324605e-01 1.1414088e-03 -3.4680530e+00 1.1873379e-07 5.7254016e-04 -4.7712964e-07
  66 1.6871498e+03 2.6468548e-01 1.1768280e-03 -3.8367433e+00 1.1809478e-07 5.6314805e-04 -5.9408414e-07
  67 1.7095879e+03 2.7636723e-01 1.2127831e-03 -4.2177384e+00 1.1745179e-07 5.5394977e-04 -7.2892256e-07
  68 1.7322307e+03 2.8828204e-01 1.2492747e-03 -4.6105178e+00 1.1680519e-07 5.4496918e-04 -8.6280153e-07
  69 1.7550480e+03 3.0042288e-01 1.2863032e-03 -5.0145907e+00 1.1615535e-07 5.3623031e-04 -9.7690240e-07
  70 1.7780248e+03 3.1278349e-01 1.3238695e-03 -5.4296595e+00 1.1550267e-07 5.2775735e-04 -1.0524295e-06
  71 1.8011469e+03 3.2536001e-01 1.3619744e-03 -5.8556664e+00 1.1484759e-07 5.1956757e-04 -1.0757871e-06
  72 1.8245088e+03 3.3814877e-01 1.4006190e-03 -6.2933431e+00 1.1419072e-07 5.1165122e-04 -1.0541033e-06
  73 1.8481985e+03 3.5114479e-01 1.4398045e-03 -6.7434012e+00 1.1353275e-07 5.0399188e-04 -9.9967168e-07
  74 1.8722003e+03 3.6433717e-01 1.4795321e-03 -7.2054825e+00 1.1287436e-07 4.9657313e-04 -9.2477019e-07
  75 1.8964908e+03 3.7771426e-01 1.5198033e-03 -7.6788948e+00 1.1221616e-07 4.8937844e-04 -8.4166213e-07
  76 1.9210079e+03 3.9126249e-01 1.5606198e-03 -8.1629297e+00 1.1155873e-07 4.8238932e-04 -7.6141270e-07
